country,total,very positive,fairly positive,fairly negative,very negative,no effect,don't know,total positive,total negative
BE,1010,384,489,77,27,22,11,873,104
BG,1014,320,432,105,48,40,69,752,153
CZ,1048,318,570,95,19,25,19,889,115
DK,993,666,283,26,2,6,9,950,28
D-W,1264,491,629,81,25,14,23,1120,106
DE,1570,564,787,131,38,21,30,1351,168
D-E,306,73,158,49,13,6,7,231,62
EE,1005,242,476,121,48,58,60,718,168
IE,1004,538,362,39,9,12,43,900,49
EL,1015,295,479,149,47,9,34,774,197
ES,1002,548,365,35,20,6,28,913,55
FR,1012,335,560,62,9,23,24,894,71
HR,1001,359,490,78,54,11,9,849,132
IT,1029,348,531,76,40,8,25,879,117
CY,504,296,162,28,7,2,9,458,34
LV,1011,302,513,66,19,36,74,815,85
LT,1027,421,479,64,23,9,32,899,87
LU,512,275,197,31,2,3,4,472,33
HU,1020,459,458,60,32,7,3,918,92
MT,501,322,124,23,8,9,15,446,31
NL,1086,633,377,52,8,9,8,1009,60
AT,1006,414,420,82,59,8,23,834,141
PL,1018,335,535,80,30,14,24,870,110
PT,1035,647,334,25,4,2,23,981,30
RO,1046,268,388,177,134,29,51,656,310
SI,1004,349,532,63,26,18,15,881,89
SK,1015,336,563,58,15,9,33,900,73
FI,1000,639,312,8,9,10,22,951,17
SE,1022,695,288,22,3,11,4,982,25
TR,1057,412,478,134,15,14,4,890,149
MK,1019,442,367,108,56,21,25,809,164
ME,539,177,214,95,38,15,0,392,133
RS,1021,423,437,66,31,42,22,860,97
AL,1004,275,602,58,23,21,26,876,81
UK,1034,533,418,42,17,10,14,951,59
BA,1006,351,440,125,68,17,4,791,194
XK,1017,511,300,70,24,33,79,812,93
