name,regulate,free
EU6,57.946675900277015,42.07063711911358
EU9,57.99495297086488,42.00504702913512
EU10,57.826982492276,42.183316168898045
EU12,58.32777036048065,41.680574098798395
FI / AT /SE,40.54054054054054,59.45945945945946
EU15,57.27589441243468,42.72410558756532
EURO ZONE,57.26169660361363,42.73830339638637
NON EURO,49.437722419928825,50.57651245551601
NMS10,49.610765124555165,50.38923487544484
NMS13,50.516752792132024,49.483247207867976
EU25,56.13557333780217,43.86442666219783
EU27-HR,55.538158898390144,44.46184110160986
EU27,55.544397667143016,44.45560233285698
EU28,55.94267634468639,44.05732365531361
CC4,63.53103448275862,36.46896551724138
CC5,63.53806228373703,36.483564013840834
Balkans CC,59.225863206509786,40.774136793490214
